Key, Type, Duration, Time Stamp
d,Hold,1.000000,9/2/2017 - 16:45:51
s,Hold,10.150000,9/2/2017 - 16:45:52
d,Hold,2.400000,9/2/2017 - 16:45:52
s,Hold,3.800000,9/2/2017 - 16:45:53
d,Hold,1.900000,9/2/2017 - 16:45:53
w,Hold,6.900000,9/2/2017 - 16:45:53
d,Hold,1.000000,9/2/2017 - 16:45:53
w,Hold,3.200000,9/2/2017 - 16:45:54
d,Hold,1.300000,9/2/2017 - 16:45:54
w,Hold,3.900000,9/2/2017 - 16:45:54
d,Hold,0.700000,9/2/2017 - 16:45:54
w,Hold,14.850000,9/2/2017 - 16:45:55
w,Hold,1.700000,9/2/2017 - 16:45:56
w,Hold,2.300000,9/2/2017 - 16:45:56
d,Hold,1.100000,9/2/2017 - 16:45:56
s,Hold,3.100000,9/2/2017 - 16:45:56
s,Hold,10.250000,9/2/2017 - 16:45:57
s,Hold,30.200001,9/2/2017 - 16:45:59
a,Hold,4.050000,9/2/2017 - 16:46:0
a,Release,,9/2/2017 - 16:46:0
a,Hold,9.300000,9/2/2017 - 16:46:1
w,Hold,16.200001,9/2/2017 - 16:46:2
w,Hold,10.250000,9/2/2017 - 16:46:3
w,Hold,34.049999,9/2/2017 - 16:46:5
a,Hold,5.050000,9/2/2017 - 16:46:6
s,Hold,7.450000,9/2/2017 - 16:46:6
s,Hold,16.650000,9/2/2017 - 16:46:8
s,Release,,9/2/2017 - 16:46:8
a,Hold,5.400000,9/2/2017 - 16:46:9
s,Hold,6.000000,9/2/2017 - 16:46:9
s,Hold,1.700000,9/2/2017 - 16:46:9
s,Hold,5.900000,9/2/2017 - 16:46:10
d,Hold,20.650000,9/2/2017 - 16:46:13
w,Hold,22.650000,9/2/2017 - 16:46:13
d,Hold,2.600000,9/2/2017 - 16:46:13
d,Release,,9/2/2017 - 16:46:13
d,Hold,2.800000,9/2/2017 - 16:46:14
w,Hold,22.799999,9/2/2017 - 16:46:15
d,Hold,0.500000,9/2/2017 - 16:46:15
d,Release,,9/2/2017 - 16:46:15
w,Hold,3.750000,9/2/2017 - 16:46:17
w,Release,,9/2/2017 - 16:46:17
w,Hold,5.900000,9/2/2017 - 16:46:18
w,Release,,9/2/2017 - 16:46:18
s,Hold,0.100000,9/2/2017 - 16:46:19
s,Hold,3.100000,9/2/2017 - 16:46:19
s,Hold,14.700000,9/2/2017 - 16:46:22
s,Release,,9/2/2017 - 16:46:22
s,Hold,7.250000,9/2/2017 - 16:46:23
s,Release,,9/2/2017 - 16:46:23
a,Hold,1.700000,9/2/2017 - 16:46:25
a,Release,,9/2/2017 - 16:46:25
d,Hold,1.900000,9/2/2017 - 16:46:26
d,Release,,9/2/2017 - 16:46:26
w,Hold,17.299999,9/2/2017 - 16:46:29
a,Hold,25.150000,9/2/2017 - 16:46:29
a,Hold,27.700001,9/2/2017 - 16:46:33
s,Hold,36.000000,9/2/2017 - 16:46:34
s,Hold,4.000000,9/2/2017 - 16:46:35
s,Release,,9/2/2017 - 16:46:35
s,Hold,9.550000,9/2/2017 - 16:46:37
s,Release,,9/2/2017 - 16:46:37
a,Hold,2.100000,9/2/2017 - 16:46:38
a,Release,,9/2/2017 - 16:46:38
d,Hold,2.400000,9/2/2017 - 16:46:39
w,Hold,25.799999,9/2/2017 - 16:46:40
d,Hold,2.900000,9/2/2017 - 16:46:41
w,Hold,10.050000,9/2/2017 - 16:46:41
d,Hold,0.600000,9/2/2017 - 16:46:41
d,Release,,9/2/2017 - 16:46:41
a,Hold,6.650000,9/2/2017 - 16:46:48
s,Hold,23.250000,9/2/2017 - 16:46:49
s,Release,,9/2/2017 - 16:46:49
a,Release,,9/2/2017 - 16:46:49
d,Hold,21.950001,9/2/2017 - 16:46:57
s,Hold,32.049999,9/2/2017 - 16:46:58
s,Hold,5.250000,9/2/2017 - 16:46:59
s,Release,,9/2/2017 - 16:46:59
d,Hold,2.800000,9/2/2017 - 16:47:0
d,Release,,9/2/2017 - 16:47:1
a,Hold,4.500000,9/2/2017 - 16:47:3
w,Hold,69.300003,9/2/2017 - 16:47:8
a,Hold,6.400000,9/2/2017 - 16:47:9
s,Hold,8.400000,9/2/2017 - 16:47:9
a,Hold,2.800000,9/2/2017 - 16:47:9
a,Release,,9/2/2017 - 16:47:9
