Key, Type, Duration, Time Stamp
d,Hold,0.900000,9/2/2017 - 16:42:19
d,Release,,9/2/2017 - 16:42:19
s,Hold,0.100000,9/2/2017 - 16:42:20
s,Hold,0.500000,9/2/2017 - 16:42:20
a,Hold,0.700000,9/2/2017 - 16:42:20
a,Release,,9/2/2017 - 16:42:20
a,Hold,0.900000,9/2/2017 - 16:42:20
a,Release,,9/2/2017 - 16:42:20
d,Hold,0.600000,9/2/2017 - 16:42:21
d,Release,,9/2/2017 - 16:42:21
d,Hold,1.000000,9/2/2017 - 16:42:21
d,Release,,9/2/2017 - 16:42:21
w,Hold,0.900000,9/2/2017 - 16:42:22
w,Release,,9/2/2017 - 16:42:22
a,Hold,1.000000,9/2/2017 - 16:42:22
a,Release,,9/2/2017 - 16:42:22
s,Hold,0.600000,9/2/2017 - 16:42:23
s,Release,,9/2/2017 - 16:42:23
d,Hold,0.200000,9/2/2017 - 16:42:23
d,Release,,9/2/2017 - 16:42:23
d,Hold,0.800000,9/2/2017 - 16:42:24
d,Release,,9/2/2017 - 16:42:24
s,Hold,0.700000,9/2/2017 - 16:42:25
s,Release,,9/2/2017 - 16:42:25
d,Hold,1.100000,9/2/2017 - 16:42:26
d,Release,,9/2/2017 - 16:42:26
a,Hold,1.400000,9/2/2017 - 16:42:26
a,Release,,9/2/2017 - 16:42:26
w,Hold,0.300000,9/2/2017 - 16:42:27
w,Hold,5.900000,9/2/2017 - 16:42:27
a,Hold,1.100000,9/2/2017 - 16:42:27
s,Press,,9/2/2017 - 16:42:27
s,Hold,2.100000,9/2/2017 - 16:42:28
s,Hold,8.100000,9/2/2017 - 16:42:28
d,Hold,4.150000,9/2/2017 - 16:42:29
w,Hold,9.150000,9/2/2017 - 16:42:29
w,Hold,0.200000,9/2/2017 - 16:42:29
w,Hold,3.200000,9/2/2017 - 16:42:29
a,Hold,8.300000,9/2/2017 - 16:42:31
s,Hold,11.300000,9/2/2017 - 16:42:31
a,Hold,0.500000,9/2/2017 - 16:42:31
a,Release,,9/2/2017 - 16:42:31
d,Hold,5.400000,9/2/2017 - 16:42:32
d,Release,,9/2/2017 - 16:42:32
a,Hold,0.600000,9/2/2017 - 16:42:32
w,Hold,1.400000,9/2/2017 - 16:42:32
a,Hold,1.300000,9/2/2017 - 16:42:32
w,Hold,2.900000,9/2/2017 - 16:42:32
w,Release,,9/2/2017 - 16:42:32
a,Release,,9/2/2017 - 16:42:32
d,Hold,3.500000,9/2/2017 - 16:42:33
s,Hold,11.600000,9/2/2017 - 16:42:34
d,Hold,0.700000,9/2/2017 - 16:42:34
s,Hold,1.700000,9/2/2017 - 16:42:34
s,Release,,9/2/2017 - 16:42:34
d,Release,,9/2/2017 - 16:42:34
a,Hold,10.800000,9/2/2017 - 16:42:36
w,Hold,17.950001,9/2/2017 - 16:42:36
w,Release,,9/2/2017 - 16:42:36
a,Release,,9/2/2017 - 16:42:36
w,Hold,4.800000,9/2/2017 - 16:42:37
w,Hold,5.600000,9/2/2017 - 16:42:37
d,Hold,5.000000,9/2/2017 - 16:42:38
d,Release,,9/2/2017 - 16:42:38
s,Hold,15.400000,9/2/2017 - 16:42:41
s,Release,,9/2/2017 - 16:42:41
w,Hold,12.800000,9/2/2017 - 16:42:42
w,Release,,9/2/2017 - 16:42:42
d,Hold,3.550000,9/2/2017 - 16:42:43
d,Release,,9/2/2017 - 16:42:43
d,Hold,2.700000,9/2/2017 - 16:42:44
d,Release,,9/2/2017 - 16:42:44
w,Hold,0.500000,9/2/2017 - 16:42:48
w,Release,,9/2/2017 - 16:42:48
s,Hold,6.750000,9/2/2017 - 16:42:49
s,Release,,9/2/2017 - 16:42:49
d,Hold,4.650000,9/2/2017 - 16:42:50
d,Release,,9/2/2017 - 16:42:50
a,Hold,5.550000,9/2/2017 - 16:42:51
a,Release,,9/2/2017 - 16:42:51
w,Hold,0.700000,9/2/2017 - 16:42:51
w,Hold,1.500000,9/2/2017 - 16:42:52
w,Hold,1.600000,9/2/2017 - 16:42:52
w,Release,,9/2/2017 - 16:42:52
w,Hold,0.900000,9/2/2017 - 16:42:52
w,Release,,9/2/2017 - 16:42:52
w,Hold,1.000000,9/2/2017 - 16:42:53
w,Release,,9/2/2017 - 16:42:53
w,Hold,0.700000,9/2/2017 - 16:42:53
w,Release,,9/2/2017 - 16:42:53
w,Hold,0.300000,9/2/2017 - 16:42:53
w,Hold,1.300000,9/2/2017 - 16:42:53
a,Hold,0.200000,9/2/2017 - 16:42:53
a,Release,,9/2/2017 - 16:42:53
a,Hold,0.200000,9/2/2017 - 16:42:54
w,Hold,1.000000,9/2/2017 - 16:42:54
w,Hold,0.100000,9/2/2017 - 16:42:54
w,Hold,0.300000,9/2/2017 - 16:42:54
d,Hold,0.600000,9/2/2017 - 16:42:54
d,Release,,9/2/2017 - 16:42:54
