Key, Type, Duration, Time Stamp
s,Hold,0.100000,9/2/2017 - 16:39:2
d,Hold,8.850000,9/2/2017 - 16:39:3
d,Hold,1.500000,9/2/2017 - 16:39:3
s,Hold,10.900000,9/2/2017 - 16:39:4
d,Hold,2.300000,9/2/2017 - 16:39:4
s,Hold,4.100000,9/2/2017 - 16:39:4
s,Release,,9/2/2017 - 16:39:4
d,Release,,9/2/2017 - 16:39:4
d,Hold,0.900000,9/2/2017 - 16:39:5
d,Release,,9/2/2017 - 16:39:5
d,Hold,1.400000,9/2/2017 - 16:39:6
d,Release,,9/2/2017 - 16:39:6
w,Hold,0.400000,9/2/2017 - 16:39:7
w,Hold,5.800000,9/2/2017 - 16:39:7
w,Hold,1.700000,9/2/2017 - 16:39:7
w,Hold,5.100000,9/2/2017 - 16:39:8
a,Hold,12.950000,9/2/2017 - 16:39:10
w,Hold,17.350000,9/2/2017 - 16:39:10
a,Hold,0.200000,9/2/2017 - 16:39:10
a,Release,,9/2/2017 - 16:39:10
a,Hold,0.200000,9/2/2017 - 16:39:10
w,Hold,3.000000,9/2/2017 - 16:39:11
w,Release,,9/2/2017 - 16:39:11
a,Release,,9/2/2017 - 16:39:11
d,Hold,2.500000,9/2/2017 - 16:39:12
d,Release,,9/2/2017 - 16:39:12
d,Hold,1.400000,9/2/2017 - 16:39:13
d,Release,,9/2/2017 - 16:39:13
w,Hold,0.700000,9/2/2017 - 16:39:14
w,Release,,9/2/2017 - 16:39:14
w,Hold,1.300000,9/2/2017 - 16:39:15
w,Release,,9/2/2017 - 16:39:15
a,Hold,9.050000,9/2/2017 - 16:39:18
w,Hold,14.650000,9/2/2017 - 16:39:18
w,Hold,0.600000,9/2/2017 - 16:39:18
w,Release,,9/2/2017 - 16:39:18
w,Hold,1.100000,9/2/2017 - 16:39:19
w,Release,,9/2/2017 - 16:39:19
a,Hold,2.200000,9/2/2017 - 16:39:21
s,Hold,7.200000,9/2/2017 - 16:39:21
s,Hold,10.550000,9/2/2017 - 16:39:23
s,Release,,9/2/2017 - 16:39:23
a,Hold,3.750000,9/2/2017 - 16:39:24
a,Release,,9/2/2017 - 16:39:25
d,Hold,20.900000,9/2/2017 - 16:39:29
d,Release,,9/2/2017 - 16:39:29
w,Hold,1.200000,9/2/2017 - 16:39:30
w,Release,,9/2/2017 - 16:39:30
w,Hold,1.300000,9/2/2017 - 16:39:31
w,Release,,9/2/2017 - 16:39:31
w,Hold,3.000000,9/2/2017 - 16:39:32
w,Release,,9/2/2017 - 16:39:32
d,Hold,1.800000,9/2/2017 - 16:39:33
d,Release,,9/2/2017 - 16:39:33
