Key, Type, Duration, Time Stamp
w,Hold,0.600000,9/2/2017 - 16:39:38
w,Release,,9/2/2017 - 16:39:38
w,Hold,0.900000,9/2/2017 - 16:39:39
w,Release,,9/2/2017 - 16:39:39
a,Hold,4.400000,9/2/2017 - 16:39:41
a,Release,,9/2/2017 - 16:39:41
d,Hold,2.400000,9/2/2017 - 16:39:42
s,Hold,4.400000,9/2/2017 - 16:39:42
d,Hold,8.800000,9/2/2017 - 16:39:44
s,Hold,10.400000,9/2/2017 - 16:39:44
s,Hold,9.550000,9/2/2017 - 16:39:45
s,Release,,9/2/2017 - 16:39:45
d,Hold,1.900000,9/2/2017 - 16:39:46
d,Release,,9/2/2017 - 16:39:46
a,Hold,14.900000,9/2/2017 - 16:39:48
a,Release,,9/2/2017 - 16:39:48
a,Hold,2.500000,9/2/2017 - 16:39:49
w,Hold,21.100000,9/2/2017 - 16:39:50
a,Hold,1.500000,9/2/2017 - 16:39:50
a,Release,,9/2/2017 - 16:39:50
w,Hold,14.900000,9/2/2017 - 16:39:53
w,Release,,9/2/2017 - 16:39:53
a,Hold,4.050000,9/2/2017 - 16:39:56
a,Release,,9/2/2017 - 16:39:56
a,Hold,1.100000,9/2/2017 - 16:39:56
s,Hold,5.900000,9/2/2017 - 16:39:57
s,Hold,18.650000,9/2/2017 - 16:39:59
s,Release,,9/2/2017 - 16:39:59
d,Hold,7.800000,9/2/2017 - 16:40:1
d,Release,,9/2/2017 - 16:40:1
d,Hold,13.750000,9/2/2017 - 16:40:4
w,Hold,16.750000,9/2/2017 - 16:40:4
d,Hold,0.800000,9/2/2017 - 16:40:4
w,Hold,6.800000,9/2/2017 - 16:40:5
d,Hold,0.100000,9/2/2017 - 16:40:5
d,Release,,9/2/2017 - 16:40:5
w,Hold,1.200000,9/2/2017 - 16:40:5
w,Release,,9/2/2017 - 16:40:5
d,Hold,0.100000,9/2/2017 - 16:40:6
w,Hold,1.100000,9/2/2017 - 16:40:6
d,Hold,1.800000,9/2/2017 - 16:40:6
d,Release,,9/2/2017 - 16:40:6
d,Hold,0.200000,9/2/2017 - 16:40:7
s,Hold,2.000000,9/2/2017 - 16:40:7
d,Release,,9/2/2017 - 16:40:7
s,Release,,9/2/2017 - 16:40:7
s,Hold,1.200000,9/2/2017 - 16:40:7
s,Release,,9/2/2017 - 16:40:8
s,Hold,2.400000,9/2/2017 - 16:40:8
s,Release,,9/2/2017 - 16:40:8
s,Hold,1.400000,9/2/2017 - 16:40:9
s,Release,,9/2/2017 - 16:40:9
d,Hold,2.800000,9/2/2017 - 16:40:10
d,Release,,9/2/2017 - 16:40:10
d,Hold,0.800000,9/2/2017 - 16:40:11
w,Hold,6.800000,9/2/2017 - 16:40:11
d,Hold,0.600000,9/2/2017 - 16:40:11
d,Release,,9/2/2017 - 16:40:11
s,Hold,1.600000,9/2/2017 - 16:40:15
s,Release,,9/2/2017 - 16:40:15
s,Hold,1.200000,9/2/2017 - 16:40:16
s,Release,,9/2/2017 - 16:40:16
a,Hold,26.650000,9/2/2017 - 16:40:21
w,Hold,44.849998,9/2/2017 - 16:40:22
a,Hold,4.700000,9/2/2017 - 16:40:23
a,Release,,9/2/2017 - 16:40:23
w,Hold,6.000000,9/2/2017 - 16:40:25
w,Release,,9/2/2017 - 16:40:26
a,Hold,3.250000,9/2/2017 - 16:40:28
s,Hold,6.850000,9/2/2017 - 16:40:29
a,Hold,0.100000,9/2/2017 - 16:40:29
a,Release,,9/2/2017 - 16:40:29
s,Hold,6.800000,9/2/2017 - 16:40:33
s,Hold,25.650000,9/2/2017 - 16:40:34
d,Hold,0.400000,9/2/2017 - 16:40:34
d,Release,,9/2/2017 - 16:40:34
d,Hold,11.550000,9/2/2017 - 16:40:36
d,Release,,9/2/2017 - 16:40:36
