Key, Type, Duration, Time Stamp
d,Hold,0.500000,9/2/2017 - 16:21:2
d,Release,,9/2/2017 - 16:21:2
s,Hold,0.800000,9/2/2017 - 16:21:2
s,Release,,9/2/2017 - 16:21:3
d,Hold,0.600000,9/2/2017 - 16:21:3
s,Hold,4.800000,9/2/2017 - 16:21:3
s,Hold,0.100000,9/2/2017 - 16:21:3
s,Release,,9/2/2017 - 16:21:3
a,Hold,2.000000,9/2/2017 - 16:21:4
s,Hold,3.200000,9/2/2017 - 16:21:4
s,Hold,0.200000,9/2/2017 - 16:21:4
s,Hold,1.600000,9/2/2017 - 16:21:4
d,Hold,1.200000,9/2/2017 - 16:21:5
w,Hold,2.800000,9/2/2017 - 16:21:5
d,Release,,9/2/2017 - 16:21:5
w,Hold,2.000000,9/2/2017 - 16:21:5
a,Hold,1.100000,9/2/2017 - 16:21:5
s,Hold,2.300000,9/2/2017 - 16:21:5
s,Hold,1.100000,9/2/2017 - 16:21:5
s,Hold,3.100000,9/2/2017 - 16:21:6
d,Hold,1.800000,9/2/2017 - 16:21:6
w,Hold,4.400000,9/2/2017 - 16:21:6
w,Hold,0.200000,9/2/2017 - 16:21:6
w,Hold,2.000000,9/2/2017 - 16:21:6
a,Hold,3.400000,9/2/2017 - 16:21:7
a,Release,,9/2/2017 - 16:21:7
w,Hold,1.900000,9/2/2017 - 16:21:7
w,Hold,4.500000,9/2/2017 - 16:21:7
d,Hold,3.000000,9/2/2017 - 16:21:8
s,Hold,4.600000,9/2/2017 - 16:21:8
s,Hold,1.700000,9/2/2017 - 16:21:8
s,Release,,9/2/2017 - 16:21:8
a,Hold,4.250000,9/2/2017 - 16:21:9
s,Hold,5.650000,9/2/2017 - 16:21:9
s,Hold,0.800000,9/2/2017 - 16:21:9
s,Hold,2.800000,9/2/2017 - 16:21:9
d,Hold,15.650000,9/2/2017 - 16:21:11
d,Release,,9/2/2017 - 16:21:11
a,Hold,12.550000,9/2/2017 - 16:21:13
w,Hold,19.049999,9/2/2017 - 16:21:14
a,Hold,0.700000,9/2/2017 - 16:21:14
a,Release,,9/2/2017 - 16:21:14
w,Hold,1.000000,9/2/2017 - 16:21:16
w,Hold,3.400000,9/2/2017 - 16:21:16
d,Hold,2.600000,9/2/2017 - 16:21:16
s,Hold,4.400000,9/2/2017 - 16:21:16
d,Hold,4.200000,9/2/2017 - 16:21:17
s,Hold,4.800000,9/2/2017 - 16:21:17
s,Hold,3.650000,9/2/2017 - 16:21:18
s,Hold,4.450000,9/2/2017 - 16:21:18
a,Hold,2.600000,9/2/2017 - 16:21:18
w,Hold,6.600000,9/2/2017 - 16:21:19
a,Hold,2.900000,9/2/2017 - 16:21:19
w,Hold,5.700000,9/2/2017 - 16:21:19
w,Hold,0.600000,9/2/2017 - 16:21:19
w,Hold,4.600000,9/2/2017 - 16:21:20
d,Hold,2.100000,9/2/2017 - 16:21:20
s,Hold,6.300000,9/2/2017 - 16:21:20
d,Hold,3.800000,9/2/2017 - 16:21:21
w,Hold,5.000000,9/2/2017 - 16:21:21
d,Hold,0.800000,9/2/2017 - 16:21:21
d,Release,,9/2/2017 - 16:21:21
s,Hold,0.200000,9/2/2017 - 16:21:22
s,Hold,1.800000,9/2/2017 - 16:21:22
d,Hold,1.300000,9/2/2017 - 16:21:22
s,Hold,3.500000,9/2/2017 - 16:21:22
s,Hold,6.200000,9/2/2017 - 16:21:22
s,Hold,11.650000,9/2/2017 - 16:21:23
a,Hold,1.400000,9/2/2017 - 16:21:23
w,Hold,10.100000,9/2/2017 - 16:21:24
a,Hold,2.100000,9/2/2017 - 16:21:24
s,Hold,3.500000,9/2/2017 - 16:21:25
s,Hold,1.000000,9/2/2017 - 16:21:25
s,Release,,9/2/2017 - 16:21:25
a,Hold,0.600000,9/2/2017 - 16:21:25
w,Hold,2.400000,9/2/2017 - 16:21:25
w,Hold,1.900000,9/2/2017 - 16:21:25
w,Hold,5.100000,9/2/2017 - 16:21:26
d,Hold,0.200000,9/2/2017 - 16:21:26
d,Release,,9/2/2017 - 16:21:26
