Key, Type, Duration, Time Stamp
d,Hold,1.100000,9/2/2017 - 16:18:50
d,Release,,9/2/2017 - 16:18:50
s,Hold,1.100000,9/2/2017 - 16:18:50
s,Release,,9/2/2017 - 16:18:50
a,Hold,0.400000,9/2/2017 - 16:18:50
w,Hold,1.600000,9/2/2017 - 16:18:51
w,Hold,0.300000,9/2/2017 - 16:18:51
w,Release,,9/2/2017 - 16:18:51
d,Hold,0.900000,9/2/2017 - 16:18:51
d,Release,,9/2/2017 - 16:18:51
d,Hold,0.300000,9/2/2017 - 16:18:52
d,Release,,9/2/2017 - 16:18:52
a,Hold,0.500000,9/2/2017 - 16:18:53
a,Release,,9/2/2017 - 16:18:53
