Key, Type, Duration, Time Stamp
s,Hold,0.100000,9/2/2017 - 15:34:16
s,Hold,1.700000,9/2/2017 - 15:34:16
s,Release,,9/2/2017 - 15:34:16
d,Release,,9/2/2017 - 15:34:16
a,Hold,0.500000,9/2/2017 - 15:34:16
a,Release,,9/2/2017 - 15:34:16
d,Hold,0.400000,9/2/2017 - 15:34:16
d,Release,,9/2/2017 - 15:34:16
a,Hold,0.100000,9/2/2017 - 15:34:16
s,Hold,0.300000,9/2/2017 - 15:34:16
s,Release,,9/2/2017 - 15:34:16
a,Release,,9/2/2017 - 15:34:16
d,Hold,0.900000,9/2/2017 - 15:34:16
d,Hold,2.500000,9/2/2017 - 15:34:16
w,Hold,3.400000,9/2/2017 - 15:34:17
w,Release,,9/2/2017 - 15:34:17
d,Release,,9/2/2017 - 15:34:17
a,Release,,9/2/2017 - 15:34:17
d,Hold,2.500000,9/2/2017 - 15:34:19
d,Release,,9/2/2017 - 15:34:19
a,Hold,4.050000,9/2/2017 - 15:34:20
a,Release,,9/2/2017 - 15:34:20
w,Press,,9/2/2017 - 15:34:20
w,Hold,1.200000,9/2/2017 - 15:34:20
d,Hold,0.200000,9/2/2017 - 15:34:20
d,Release,,9/2/2017 - 15:34:20
