Key, Type, Duration, Time Stamp
x,Hold,1.000000,9/2/2017 - 16:25:15
x,Release,,9/2/2017 - 16:25:15
d,Hold,0.800000,9/2/2017 - 16:25:15
s,Hold,1.800000,9/2/2017 - 16:25:15
s,Hold,4.800000,9/2/2017 - 16:25:15
s,Hold,1.400000,9/2/2017 - 16:25:16
d,Hold,0.900000,9/2/2017 - 16:25:16
w,Hold,3.700000,9/2/2017 - 16:25:16
w,Hold,4.600000,9/2/2017 - 16:25:16
w,Hold,1.200000,9/2/2017 - 16:25:16
a,Hold,1.200000,9/2/2017 - 16:25:16
s,Hold,3.800000,9/2/2017 - 16:25:17
s,Hold,0.800000,9/2/2017 - 16:25:17
s,Hold,2.400000,9/2/2017 - 16:25:17
d,Hold,1.300000,9/2/2017 - 16:25:17
w,Hold,4.500000,9/2/2017 - 16:25:17
w,Hold,0.200000,9/2/2017 - 16:25:17
w,Hold,2.000000,9/2/2017 - 16:25:17
a,Hold,0.900000,9/2/2017 - 16:25:18
s,Hold,2.900000,9/2/2017 - 16:25:18
s,Hold,0.800000,9/2/2017 - 16:25:18
s,Hold,3.400000,9/2/2017 - 16:25:18
d,Hold,2.700000,9/2/2017 - 16:25:19
w,Press,,9/2/2017 - 16:25:19
w,Hold,3.600000,9/2/2017 - 16:25:19
w,Hold,5.600000,9/2/2017 - 16:25:19
a,Hold,1.100000,9/2/2017 - 16:25:19
s,Hold,1.500000,9/2/2017 - 16:25:19
s,Hold,1.100000,9/2/2017 - 16:25:19
s,Hold,3.300000,9/2/2017 - 16:25:20
d,Hold,1.000000,9/2/2017 - 16:25:20
w,Hold,3.400000,9/2/2017 - 16:25:20
d,Release,,9/2/2017 - 16:25:20
w,Hold,1.800000,9/2/2017 - 16:25:20
a,Hold,1.400000,9/2/2017 - 16:25:20
s,Hold,6.200000,9/2/2017 - 16:25:21
a,Hold,1.100000,9/2/2017 - 16:25:21
w,Hold,1.700000,9/2/2017 - 16:25:21
w,Hold,2.600000,9/2/2017 - 16:25:21
w,Hold,1.400000,9/2/2017 - 16:25:21
d,Hold,4.250000,9/2/2017 - 16:25:22
d,Release,,9/2/2017 - 16:25:22
