Key, Type, Duration, Time Stamp
d,Hold,0.400000,9/2/2017 - 16:13:55
s,Hold,2.800000,9/2/2017 - 16:13:55
s,Hold,0.100000,9/2/2017 - 16:13:55
s,Release,,9/2/2017 - 16:13:55
a,Hold,0.100000,9/2/2017 - 16:13:55
s,Press,,9/2/2017 - 16:13:55
s,Hold,1.000000,9/2/2017 - 16:13:55
s,Hold,0.600000,9/2/2017 - 16:13:55
d,Hold,0.400000,9/2/2017 - 16:13:55
d,Release,,9/2/2017 - 16:13:55
a,Hold,0.600000,9/2/2017 - 16:13:55
w,Press,,9/2/2017 - 16:13:55
w,Hold,1.200000,9/2/2017 - 16:13:56
w,Hold,1.000000,9/2/2017 - 16:13:56
d,Hold,0.400000,9/2/2017 - 16:13:56
d,Release,,9/2/2017 - 16:13:56
a,Hold,0.300000,9/2/2017 - 16:13:56
w,Hold,1.500000,9/2/2017 - 16:13:56
w,Hold,0.100000,9/2/2017 - 16:13:56
w,Hold,0.700000,9/2/2017 - 16:13:56
d,Hold,0.600000,9/2/2017 - 16:13:56
d,Release,,9/2/2017 - 16:13:56
a,Hold,0.400000,9/2/2017 - 16:13:56
w,Hold,2.400000,9/2/2017 - 16:13:56
a,Release,,9/2/2017 - 16:13:56
w,Hold,0.600000,9/2/2017 - 16:13:56
d,Hold,0.700000,9/2/2017 - 16:13:56
d,Release,,9/2/2017 - 16:13:56
a,Hold,0.900000,9/2/2017 - 16:13:57
a,Release,,9/2/2017 - 16:13:57
d,Hold,0.600000,9/2/2017 - 16:13:57
d,Release,,9/2/2017 - 16:13:57
d,Hold,0.700000,9/2/2017 - 16:13:57
d,Release,,9/2/2017 - 16:13:57
d,Hold,0.600000,9/2/2017 - 16:13:57
d,Release,,9/2/2017 - 16:13:57
