Key, Type, Duration, Time Stamp
s,Press,,9/2/2017 - 11:31:33
s,Hold,0.800000,9/2/2017 - 11:31:33
s,Hold,1.700000,9/2/2017 - 11:31:33
s,Release,,9/2/2017 - 11:31:33
d,Hold,0.500000,9/2/2017 - 11:31:33
d,Hold,0.900000,9/2/2017 - 11:31:33
a,Hold,0.200000,9/2/2017 - 11:31:33
s,Hold,1.200000,9/2/2017 - 11:31:33
a,Release,,9/2/2017 - 11:31:34
s,Hold,0.600000,9/2/2017 - 11:31:34
d,Hold,0.600000,9/2/2017 - 11:31:34
d,Hold,1.000000,9/2/2017 - 11:31:34
d,Release,,9/2/2017 - 11:31:34
w,Hold,1.400000,9/2/2017 - 11:31:34
w,Release,,9/2/2017 - 11:31:34
d,Hold,1.000000,9/2/2017 - 11:31:34
a,Hold,0.100000,9/2/2017 - 11:31:34
s,Hold,0.700000,9/2/2017 - 11:31:34
s,Hold,0.300000,9/2/2017 - 11:31:34
s,Hold,0.900000,9/2/2017 - 11:31:34
d,Hold,0.300000,9/2/2017 - 11:31:34
d,Hold,0.900000,9/2/2017 - 11:31:34
a,Hold,0.200000,9/2/2017 - 11:31:34
s,Hold,1.200000,9/2/2017 - 11:31:34
s,Hold,1.800000,9/2/2017 - 11:31:34
a,Release,,9/2/2017 - 11:31:34
d,Hold,0.300000,9/2/2017 - 11:31:34
d,Hold,0.500000,9/2/2017 - 11:31:34
a,Hold,0.400000,9/2/2017 - 11:31:34
s,Hold,1.400000,9/2/2017 - 11:31:35
s,Hold,2.000000,9/2/2017 - 11:31:35
s,Hold,0.200000,9/2/2017 - 11:31:35
d,Hold,0.200000,9/2/2017 - 11:31:35
d,Hold,0.600000,9/2/2017 - 11:31:35
a,Hold,0.500000,9/2/2017 - 11:31:35
s,Hold,1.100000,9/2/2017 - 11:31:35
a,Release,,9/2/2017 - 11:31:35
s,Hold,0.400000,9/2/2017 - 11:31:35
d,Hold,0.600000,9/2/2017 - 11:31:35
w,Hold,2.000000,9/2/2017 - 11:31:35
w,Release,,9/2/2017 - 11:31:35
d,Release,,9/2/2017 - 11:31:35
