Key, Type, Duration, Time Stamp
a,Hold,1.400000,9/2/2017 - 15:30:54
d,Hold,1.600000,9/2/2017 - 15:30:54
d,Hold,0.800000,9/2/2017 - 15:30:54
s,Hold,5.000000,9/2/2017 - 15:30:54
s,Hold,9.800000,9/2/2017 - 15:30:55
d,Release,,9/2/2017 - 15:30:55
s,Hold,0.200000,9/2/2017 - 15:30:55
s,Release,,9/2/2017 - 15:30:55
Mouse Left,Press,,9/2/2017 - 15:30:55
Mouse Left,Release,,9/2/2017 - 15:30:56
d,Hold,1.000000,9/2/2017 - 15:30:56
s,Hold,1.400000,9/2/2017 - 15:30:56
s,Hold,6.500000,9/2/2017 - 15:30:56
s,Release,,9/2/2017 - 15:30:56
d,Hold,0.300000,9/2/2017 - 15:30:56
d,Release,,9/2/2017 - 15:30:56
,Hold,1.200000,9/2/2017 - 15:30:57
,Hold,2.200000,9/2/2017 - 15:30:57
,Hold,5.500000,9/2/2017 - 15:30:57
,Release,,9/2/2017 - 15:30:57
,Release,,9/2/2017 - 15:30:57
,Release,,9/2/2017 - 15:30:57
d,Hold,0.400000,9/2/2017 - 15:30:57
,Press,,9/2/2017 - 15:30:57
,Hold,1.600000,9/2/2017 - 15:30:57
,Hold,3.600000,9/2/2017 - 15:30:57
,Release,,9/2/2017 - 15:30:57
,Release,,9/2/2017 - 15:30:57
d,Release,,9/2/2017 - 15:30:57
a,Release,,9/2/2017 - 15:30:57
d,Hold,0.400000,9/2/2017 - 15:30:57
w,Hold,1.400000,9/2/2017 - 15:30:57
w,Hold,4.700000,9/2/2017 - 15:30:58
w,Hold,5.600000,9/2/2017 - 15:30:58
w,Release,,9/2/2017 - 15:30:58
d,Hold,0.400000,9/2/2017 - 15:30:58
d,Hold,0.200000,9/2/2017 - 15:30:58
s,Hold,1.000000,9/2/2017 - 15:30:58
s,Hold,4.900000,9/2/2017 - 15:30:58
s,Release,,9/2/2017 - 15:30:58
d,Hold,1.100000,9/2/2017 - 15:30:58
w,Press,,9/2/2017 - 15:30:58
w,Hold,3.500000,9/2/2017 - 15:30:58
w,Hold,0.400000,9/2/2017 - 15:30:58
a,Hold,0.700000,9/2/2017 - 15:30:58
s,Hold,1.100000,9/2/2017 - 15:30:58
s,Hold,1.400000,9/2/2017 - 15:30:58
s,Hold,1.200000,9/2/2017 - 15:30:59
d,Hold,0.800000,9/2/2017 - 15:30:59
d,Release,,9/2/2017 - 15:30:59
d,Hold,0.500000,9/2/2017 - 15:30:59
d,Release,,9/2/2017 - 15:30:59
d,Hold,0.300000,9/2/2017 - 15:30:59
d,Release,,9/2/2017 - 15:30:59
d,Hold,0.500000,9/2/2017 - 15:30:59
d,Release,,9/2/2017 - 15:30:59
d,Hold,0.300000,9/2/2017 - 15:30:59
d,Release,,9/2/2017 - 15:30:59
d,Hold,0.300000,9/2/2017 - 15:30:59
d,Release,,9/2/2017 - 15:30:59
d,Hold,0.500000,9/2/2017 - 15:31:0
d,Release,,9/2/2017 - 15:31:0
d,Hold,0.900000,9/2/2017 - 15:31:0
w,Hold,1.700000,9/2/2017 - 15:31:0
w,Hold,3.500000,9/2/2017 - 15:31:0
w,Release,,9/2/2017 - 15:31:0
a,Hold,0.600000,9/2/2017 - 15:31:0
s,Hold,6.850000,9/2/2017 - 15:31:1
s,Release,,9/2/2017 - 15:31:1
a,Release,,9/2/2017 - 15:31:1
d,Hold,0.200000,9/2/2017 - 15:31:1
s,Press,,9/2/2017 - 15:31:1
s,Hold,1.100000,9/2/2017 - 15:31:1
s,Release,,9/2/2017 - 15:31:1
d,Release,,9/2/2017 - 15:31:1
a,Release,,9/2/2017 - 15:31:1
