Key, Type, Duration, Time Stamp
s,Hold,3.250000,9/2/2017 - 16:40:39
s,Hold,5.250000,9/2/2017 - 16:40:40
d,Hold,0.100000,9/2/2017 - 16:40:40
d,Release,,9/2/2017 - 16:40:40
d,Hold,0.800000,9/2/2017 - 16:40:40
d,Release,,9/2/2017 - 16:40:40
d,Hold,0.800000,9/2/2017 - 16:40:40
d,Release,,9/2/2017 - 16:40:40
a,Hold,0.400000,9/2/2017 - 16:40:41
a,Release,,9/2/2017 - 16:40:41
d,Hold,1.000000,9/2/2017 - 16:40:41
d,Release,,9/2/2017 - 16:40:41
s,Hold,2.700000,9/2/2017 - 16:40:41
s,Release,,9/2/2017 - 16:40:41
d,Hold,6.650000,9/2/2017 - 16:40:46
e,Hold,16.950001,9/2/2017 - 16:40:47
d,Hold,2.600000,9/2/2017 - 16:40:47
d,Release,,9/2/2017 - 16:40:47
w,Hold,21.150000,9/2/2017 - 16:40:51
w,Release,,9/2/2017 - 16:40:51
d,Hold,16.299999,9/2/2017 - 16:40:55
s,Hold,44.250000,9/2/2017 - 16:40:57
s,Hold,4.000000,9/2/2017 - 16:40:57
s,Hold,9.600000,9/2/2017 - 16:40:58
a,Hold,21.700001,9/2/2017 - 16:41:1
a,Release,,9/2/2017 - 16:41:1
a,Hold,1.100000,9/2/2017 - 16:41:1
s,Hold,17.350000,9/2/2017 - 16:41:2
s,Hold,3.150000,9/2/2017 - 16:41:3
s,Hold,12.300000,9/2/2017 - 16:41:4
a,Hold,5.400000,9/2/2017 - 16:41:4
s,Hold,45.900002,9/2/2017 - 16:41:8
a,Hold,0.200000,9/2/2017 - 16:41:8
a,Release,,9/2/2017 - 16:41:8
a,Hold,0.600000,9/2/2017 - 16:41:8
w,Hold,36.349998,9/2/2017 - 16:41:11
w,Hold,24.549999,9/2/2017 - 16:41:14
w,Release,,9/2/2017 - 16:41:14
e,Hold,1.600000,9/2/2017 - 16:41:15
e,Release,,9/2/2017 - 16:41:15
w,Hold,9.650000,9/2/2017 - 16:41:16
w,Hold,11.050000,9/2/2017 - 16:41:16
w,Hold,1.300000,9/2/2017 - 16:41:17
w,Hold,3.100000,9/2/2017 - 16:41:17
w,Hold,2.500000,9/2/2017 - 16:41:17
w,Hold,3.700000,9/2/2017 - 16:41:17
w,Hold,2.700000,9/2/2017 - 16:41:18
w,Hold,15.450000,9/2/2017 - 16:41:19
d,Hold,4.150000,9/2/2017 - 16:41:19
s,Hold,32.450001,9/2/2017 - 16:41:21
s,Hold,2.000000,9/2/2017 - 16:41:22
s,Release,,9/2/2017 - 16:41:22
s,Hold,4.050000,9/2/2017 - 16:41:22
s,Release,,9/2/2017 - 16:41:22
s,Hold,3.250000,9/2/2017 - 16:41:23
s,Release,,9/2/2017 - 16:41:23
d,Hold,3.150000,9/2/2017 - 16:41:24
d,Release,,9/2/2017 - 16:41:24
d,Hold,0.900000,9/2/2017 - 16:41:25
d,Release,,9/2/2017 - 16:41:25
d,Hold,5.000000,9/2/2017 - 16:41:26
e,Hold,22.500000,9/2/2017 - 16:41:27
e,Hold,16.049999,9/2/2017 - 16:41:29
e,Release,,9/2/2017 - 16:41:29
w,Hold,10.150000,9/2/2017 - 16:41:31
w,Hold,31.450001,9/2/2017 - 16:41:32
w,Hold,5.200000,9/2/2017 - 16:41:33
w,Hold,9.000000,9/2/2017 - 16:41:34
q,Hold,15.550000,9/2/2017 - 16:41:36
q,Release,,9/2/2017 - 16:41:36
a,Hold,32.299999,9/2/2017 - 16:41:40
a,Release,,9/2/2017 - 16:41:40
a,Hold,10.000000,9/2/2017 - 16:41:42
a,Release,,9/2/2017 - 16:41:42
a,Hold,1.200000,9/2/2017 - 16:41:42
s,Hold,3.400000,9/2/2017 - 16:41:43
s,Hold,14.900000,9/2/2017 - 16:41:45
s,Hold,20.500000,9/2/2017 - 16:41:45
s,Hold,3.100000,9/2/2017 - 16:41:46
s,Release,,9/2/2017 - 16:41:46
w,Hold,7.550000,9/2/2017 - 16:41:48
w,Hold,8.750000,9/2/2017 - 16:41:48
d,Hold,7.400000,9/2/2017 - 16:41:49
x,Hold,54.400002,9/2/2017 - 16:41:53
x,Hold,1.800000,9/2/2017 - 16:41:53
x,Release,,9/2/2017 - 16:41:53
