Key, Type, Duration, Time Stamp
d,Hold,0.100000,9/2/2017 - 11:33:51
d,Hold,0.900000,9/2/2017 - 11:33:51
a,Hold,0.100000,9/2/2017 - 11:33:51
s,Hold,1.300000,9/2/2017 - 11:33:51
s,Hold,1.900000,9/2/2017 - 11:33:51
s,Hold,0.400000,9/2/2017 - 11:33:51
d,Hold,0.900000,9/2/2017 - 11:33:52
w,Hold,2.500000,9/2/2017 - 11:33:52
d,Hold,0.800000,9/2/2017 - 11:33:52
s,Hold,7.050000,9/2/2017 - 11:33:52
s,Hold,8.550000,9/2/2017 - 11:33:52
d,Hold,1.600000,9/2/2017 - 11:33:53
a,Hold,1.000000,9/2/2017 - 11:33:53
w,Hold,2.600000,9/2/2017 - 11:33:53
w,Hold,3.200000,9/2/2017 - 11:33:53
w,Hold,0.200000,9/2/2017 - 11:33:53
d,Hold,0.900000,9/2/2017 - 11:33:53
s,Hold,4.300000,9/2/2017 - 11:33:53
d,Hold,2.000000,9/2/2017 - 11:33:54
w,Hold,3.600000,9/2/2017 - 11:33:54
d,Hold,0.800000,9/2/2017 - 11:33:54
s,Hold,2.600000,9/2/2017 - 11:33:54
s,Hold,2.900000,9/2/2017 - 11:33:54
s,Hold,0.800000,9/2/2017 - 11:33:54
a,Hold,1.000000,9/2/2017 - 11:33:54
w,Hold,2.600000,9/2/2017 - 11:33:55
w,Hold,2.900000,9/2/2017 - 11:33:55
w,Hold,0.400000,9/2/2017 - 11:33:55
d,Hold,0.800000,9/2/2017 - 11:33:55
s,Hold,2.200000,9/2/2017 - 11:33:55
s,Hold,2.800000,9/2/2017 - 11:33:55
s,Hold,0.400000,9/2/2017 - 11:33:55
a,Hold,0.900000,9/2/2017 - 11:33:55
s,Hold,1.900000,9/2/2017 - 11:33:55
s,Hold,2.500000,9/2/2017 - 11:33:55
s,Hold,0.400000,9/2/2017 - 11:33:55
d,Hold,0.400000,9/2/2017 - 11:33:55
d,Hold,0.800000,9/2/2017 - 11:33:55
d,Release,,9/2/2017 - 11:33:55
a,Release,,9/2/2017 - 11:33:55
