Key, Type, Duration, Time Stamp
d,Press,,9/2/2017 - 12:31:22
d,Hold,1.800000,9/2/2017 - 12:31:22
w,Hold,2.400000,9/2/2017 - 12:31:22
w,Hold,0.200000,9/2/2017 - 12:31:22
w,Hold,0.500000,9/2/2017 - 12:31:22
w,Hold,0.900000,9/2/2017 - 12:31:22
d,Hold,0.700000,9/2/2017 - 12:31:22
s,Press,,9/2/2017 - 12:31:22
s,Hold,1.000000,9/2/2017 - 12:31:22
s,Hold,0.200000,9/2/2017 - 12:31:22
s,Hold,0.400000,9/2/2017 - 12:31:22
s,Hold,0.800000,9/2/2017 - 12:31:22
d,Hold,0.200000,9/2/2017 - 12:31:22
d,Hold,0.800000,9/2/2017 - 12:31:22
a,Hold,0.300000,9/2/2017 - 12:31:22
s,Hold,0.900000,9/2/2017 - 12:31:23
a,Release,,9/2/2017 - 12:31:23
s,Hold,0.400000,9/2/2017 - 12:31:23
d,Hold,0.400000,9/2/2017 - 12:31:23
d,Hold,0.600000,9/2/2017 - 12:31:23
a,Hold,0.300000,9/2/2017 - 12:31:23
s,Hold,0.900000,9/2/2017 - 12:31:23
d,Press,,9/2/2017 - 12:31:23
s,Hold,0.200000,9/2/2017 - 12:31:23
d,Hold,0.300000,9/2/2017 - 12:31:23
d,Release,,9/2/2017 - 12:31:23
