Key, Type, Duration, Time Stamp
Mouse Left,Press,,9/2/2017 - 15:34:31
Mouse Left,Release,,9/2/2017 - 15:34:31
d,Hold,1.400000,9/2/2017 - 15:34:32
s,Hold,2.600000,9/2/2017 - 15:34:32
s,Hold,5.300000,9/2/2017 - 15:34:32
s,Hold,1.200000,9/2/2017 - 15:34:32
d,Hold,0.300000,9/2/2017 - 15:34:32
d,Release,,9/2/2017 - 15:34:32
d,Hold,6.150000,9/2/2017 - 15:34:33
d,Release,,9/2/2017 - 15:34:33
a,Hold,7.550000,9/2/2017 - 15:34:34
w,Hold,12.550000,9/2/2017 - 15:34:35
a,Hold,0.700000,9/2/2017 - 15:34:35
a,Release,,9/2/2017 - 15:34:35
s,Press,,9/2/2017 - 15:34:35
s,Hold,4.000000,9/2/2017 - 15:34:35
d,Hold,2.900000,9/2/2017 - 15:34:36
w,Hold,4.700000,9/2/2017 - 15:34:36
w,Hold,6.200000,9/2/2017 - 15:34:36
w,Hold,0.200000,9/2/2017 - 15:34:36
w,Hold,2.600000,9/2/2017 - 15:34:36
d,Hold,0.200000,9/2/2017 - 15:34:36
a,Hold,0.700000,9/2/2017 - 15:34:36
s,Hold,1.100000,9/2/2017 - 15:34:36
s,Hold,4.700000,9/2/2017 - 15:34:37
s,Hold,2.400000,9/2/2017 - 15:34:37
d,Hold,0.700000,9/2/2017 - 15:34:37
d,Release,,9/2/2017 - 15:34:37
