Key, Type, Duration, Time Stamp
x,Press,,9/2/2017 - 15:31:6
\,Press,,9/2/2017 - 15:31:6
x,Hold,2.400000,9/2/2017 - 15:31:6
a,Hold,0.200000,9/2/2017 - 15:31:6
\,Release,,9/2/2017 - 15:31:6
a,Release,,9/2/2017 - 15:31:6
x,Press,,9/2/2017 - 15:31:6
\,Press,,9/2/2017 - 15:31:6
x,Hold,1.200000,9/2/2017 - 15:31:6
x,Hold,0.400000,9/2/2017 - 15:31:6
x,Release,,9/2/2017 - 15:31:6
\,Release,,9/2/2017 - 15:31:6
\,Hold,0.500000,9/2/2017 - 15:31:6
\,Release,,9/2/2017 - 15:31:6
x,Hold,0.100000,9/2/2017 - 15:31:6
x,Release,,9/2/2017 - 15:31:6
s,Press,,9/2/2017 - 15:31:6
d,Press,,9/2/2017 - 15:31:6
s,Hold,0.600000,9/2/2017 - 15:31:6
d,Hold,0.400000,9/2/2017 - 15:31:6
d,Release,,9/2/2017 - 15:31:6
a,Release,,9/2/2017 - 15:31:6
s,Press,,9/2/2017 - 15:31:7
d,Press,,9/2/2017 - 15:31:7
s,Hold,1.200000,9/2/2017 - 15:31:7
s,Release,,9/2/2017 - 15:31:7
d,Release,,9/2/2017 - 15:31:7
a,Release,,9/2/2017 - 15:31:7
s,Press,,9/2/2017 - 15:31:7
d,Press,,9/2/2017 - 15:31:7
s,Hold,0.900000,9/2/2017 - 15:31:7
d,Hold,0.200000,9/2/2017 - 15:31:7
d,Release,,9/2/2017 - 15:31:7
a,Release,,9/2/2017 - 15:31:7
s,Press,,9/2/2017 - 15:31:7
d,Press,,9/2/2017 - 15:31:7
s,Hold,1.200000,9/2/2017 - 15:31:7
s,Release,,9/2/2017 - 15:31:7
d,Release,,9/2/2017 - 15:31:7
a,Release,,9/2/2017 - 15:31:7
w,Press,,9/2/2017 - 15:31:7
d,Press,,9/2/2017 - 15:31:7
w,Hold,1.500000,9/2/2017 - 15:31:7
w,Release,,9/2/2017 - 15:31:7
d,Release,,9/2/2017 - 15:31:7
a,Release,,9/2/2017 - 15:31:7
w,Hold,0.200000,9/2/2017 - 15:31:7
d,Press,,9/2/2017 - 15:31:7
w,Hold,0.800000,9/2/2017 - 15:31:7
w,Hold,0.200000,9/2/2017 - 15:31:7
w,Release,,9/2/2017 - 15:31:7
a,Release,,9/2/2017 - 15:31:7
d,Hold,0.200000,9/2/2017 - 15:31:7
s,Press,,9/2/2017 - 15:31:7
s,Hold,0.500000,9/2/2017 - 15:31:7
d,Hold,0.400000,9/2/2017 - 15:31:7
a,Hold,0.300000,9/2/2017 - 15:31:7
s,Hold,0.500000,9/2/2017 - 15:31:7
s,Hold,1.700000,9/2/2017 - 15:31:7
s,Release,,9/2/2017 - 15:31:7
d,Release,,9/2/2017 - 15:31:7
a,Release,,9/2/2017 - 15:31:7
s,Press,,9/2/2017 - 15:31:7
d,Press,,9/2/2017 - 15:31:7
s,Hold,0.600000,9/2/2017 - 15:31:7
s,Release,,9/2/2017 - 15:31:8
d,Release,,9/2/2017 - 15:31:8
a,Release,,9/2/2017 - 15:31:8
s,Press,,9/2/2017 - 15:31:8
d,Press,,9/2/2017 - 15:31:8
s,Hold,0.900000,9/2/2017 - 15:31:8
s,Release,,9/2/2017 - 15:31:8
d,Release,,9/2/2017 - 15:31:8
a,Release,,9/2/2017 - 15:31:8
s,Press,,9/2/2017 - 15:31:8
d,Press,,9/2/2017 - 15:31:8
s,Hold,0.600000,9/2/2017 - 15:31:8
s,Release,,9/2/2017 - 15:31:8
d,Hold,0.100000,9/2/2017 - 15:31:8
d,Release,,9/2/2017 - 15:31:8
s,Press,,9/2/2017 - 15:31:8
d,Press,,9/2/2017 - 15:31:8
s,Hold,0.900000,9/2/2017 - 15:31:8
s,Release,,9/2/2017 - 15:31:8
d,Release,,9/2/2017 - 15:31:8
a,Release,,9/2/2017 - 15:31:8
w,Press,,9/2/2017 - 15:31:8
d,Press,,9/2/2017 - 15:31:8
a,Press,,9/2/2017 - 15:31:8
w,Hold,0.600000,9/2/2017 - 15:31:8
d,Hold,0.100000,9/2/2017 - 15:31:8
d,Release,,9/2/2017 - 15:31:8
a,Hold,0.700000,9/2/2017 - 15:31:8
a,Release,,9/2/2017 - 15:31:8
d,Hold,0.200000,9/2/2017 - 15:31:8
s,Press,,9/2/2017 - 15:31:8
s,Hold,1.100000,9/2/2017 - 15:31:8
s,Release,,9/2/2017 - 15:31:8
a,Hold,0.100000,9/2/2017 - 15:31:8
a,Release,,9/2/2017 - 15:31:8
s,Press,,9/2/2017 - 15:31:9
d,Press,,9/2/2017 - 15:31:9
s,Hold,0.600000,9/2/2017 - 15:31:9
s,Release,,9/2/2017 - 15:31:9
d,Release,,9/2/2017 - 15:31:9
a,Release,,9/2/2017 - 15:31:9
s,Press,,9/2/2017 - 15:31:9
d,Press,,9/2/2017 - 15:31:9
s,Hold,0.300000,9/2/2017 - 15:31:9
d,Hold,0.200000,9/2/2017 - 15:31:9
d,Hold,0.100000,9/2/2017 - 15:31:9
d,Release,,9/2/2017 - 15:31:9
s,Press,,9/2/2017 - 15:31:9
d,Press,,9/2/2017 - 15:31:9
s,Hold,0.900000,9/2/2017 - 15:31:9
s,Release,,9/2/2017 - 15:31:9
d,Release,,9/2/2017 - 15:31:9
a,Release,,9/2/2017 - 15:31:9
s,Press,,9/2/2017 - 15:31:9
d,Press,,9/2/2017 - 15:31:9
s,Hold,1.200000,9/2/2017 - 15:31:9
s,Release,,9/2/2017 - 15:31:9
